,Instrument,Organization Name,TSE33 Subsector name
59,5406.T,Kobe Steel Ltd,Iron & Steel
60,6301.T,Komatsu Ltd,Machinery
61,9766.T,Konami Holdings Corp,Services
62,4902.T,Konica Minolta Inc,Electric Appliances
63,6473.T,Jtekt Corp,Machinery
64,6326.T,Kubota Corp,Machinery
65,3405.T,Kuraray Co Ltd,Chemicals
66,6971.T,Kyocera Corp,Electric Appliances
67,4151.T,Kyowa Kirin Co Ltd,Pharmaceutical
68,8002.T,Marubeni Corp,Wholesale Trade
69,8252.T,Marui Group Co Ltd,Retail Trade
70,6752.T,Panasonic Corp,Electric Appliances
71,8253.T,Credit Saison Co Ltd,Other Financing Business
72,8802.T,Mitsubishi Estate Co Ltd,Real Estate
73,8058.T,Mitsubishi Corp,Wholesale Trade
74,9301.T,Mitsubishi Logistics Corp,Warehousing & Harbor Transportation Services
75,6503.T,Mitsubishi Electric Corp,Electric Appliances
76,7011.T,Mitsubishi Heavy Industries Ltd,Machinery
77,5711.T,Mitsubishi Materials Corp,Nonferrous Metals
78,8031.T,Mitsui & Co Ltd,Wholesale Trade
79,5706.T,Mitsui Mining and Smelting Co Ltd,Nonferrous Metals
80,4183.T,Mitsui Chemicals Inc,Chemicals
81,7003.T,Mitsui E&S Holdings Co Ltd,Transportation Equipment
82,9104.T,Mitsui OSK Lines Ltd,Marine Transportation
83,8801.T,Mitsui Fudosan Co Ltd,Real Estate
84,7211.T,Mitsubishi Motors Corp,Transportation Equipment
85,6981.T,Murata Manufacturing Co Ltd,Electric Appliances
86,5333.T,NGK Insulators Ltd,Glass & Ceramics Products
87,7974.T,Nintendo Co Ltd,Other Products
88,6902.T,Denso Corp,Transportation Equipment
89,6701.T,NEC Corp,Electric Appliances
90,2282.T,NH Foods Ltd,Foods
91,2871.T,Nichirei Corp,Foods
92,1332.T,Nippon Suisan Kaisha Ltd,"Fishery, Agriculture & Forestry"
93,2002.T,Nisshin Seifun Group Inc,Foods
94,9432.T,Nippon Telegraph and Telephone Corp,Information & Communication
95,5202.T,Nippon Sheet Glass Co Ltd,Glass & Ceramics Products
96,6471.T,NSK Ltd,Machinery
97,4021.T,Nissan Chemical Corp,Chemicals
98,6988.T,Nitto Denko Corp,Chemicals
99,9062.T,Nippon Express Co Ltd,Land Transportation
100,7731.T,Nikon Corp,Precision Instruments
101,7951.T,Yamaha Corp,Other Products
102,6479.T,Minebea Mitsumi Inc,Electric Appliances
